variable	EnvSeason	aminoglycoside	bacitracin	beta_lactam	chloramphenicol	ExSepctra	macrolide-lincosamide-streptogramin	multidrug	pipetide_antibiotics	quinolone	rifamycin	sulfonamide	tetracycline
Sum.LFair01	Air.Sum	0.157198623500642	0.121189353933068	0.0472520132676516	0.00895654720673771	0.0164676786917334	0.0258203612949391	0.180724520653521	0.0264797002517896	0.00826050337660818	0.025088179558476	0.0542088804993322	0.0236671253887207
Sum.LFair02	Air.Sum	0.0148598109151315	0.025411704026858	0.0101928886267135	0.00858896399019048	0.020498450229231	0.0308479662223921	0.0625046169839023	0.0186424881636709	0.00101109355338421	0.00899659162937471	0.0131866649633492	0.0163832242659407
Sum.LFair03	Air.Sum	0.0627721549169452	0.0639220765901522	0.0133196042609183	0.0127302997864243	0.0133350452713603	0.0338842334510661	0.13364559354789	0.0203930404299742	0.00417515045213158	0.012321810087759	0.035100339609398	0.0430305531034219
Sum.LFair04	Air.Sum	1.24752419172994	0.0516856082280236	0.571997871341044	0.0146258166622141	0.0916027841105991	0.196120850045764	2.00745860167482	0.0997434904999476	0.199994064957042	0.0031389794971393	0.0112176620033108	0.0129601583613783
Sum.LFair05	Air.Sum	0.252291105598222	0.0850205489179127	0.0163959219431037	0.0794874687988679	0.0256513659023342	0.0770203510857103	0.224521413925291	0.0510874964543852	0.0172829633024569	0.0146577238956511	0.104258937579732	0.0409535219658865
Sum.LFair06	Air.Sum	0.123824967886642	0.0479205820475927	0.0109263395948246	0.04652749974381	0.0310977666240709	0.0864541100553204	0.110683234872729	0.033994866768767	0.00728574279955449	0.0195869105445068	0.0437706964774821	0.0401939429648951
Sum.LTPair01	Air.Sum	0.097410576789841	0.134047152000048	0.0335459956883416	0.0107955192145051	0.0110018090040245	0.0272310121968399	0.206493816832934	0.0262640363963333	0.00779566243505328	0.0172942563297074	0.0448290004435035	0.0232650338144901
Sum.LTPair02	Air.Sum	0.022910417278753	0.0422569230357806	0.0084326438054071	0.00547452165577931	0.00878087466892007	0.0383136216614778	0.107588755340312	0.0183993196609034	0.0029781825713764	0.00838067337324784	0.0228562975571227	0.0176008028427022
Sum.LTPair03	Air.Sum	0.0219537507267576	0.0481019029564033	0.0117124722285369	0.00471035750241131	0.0113787977127512	0.0344318209861497	0.0946961026144778	0.0148560099412435	0.000302910181066997	0.00673591400374361	0.0184417042616865	0.0155039904301438
Sum.LTPair04	Air.Sum	1.26862726656275	0.052355106467688	0.596192732521129	0.0108345800646794	0.102935693808538	0.183977282061423	2.01755422666201	0.0996996230439891	0.225614033419623	0.0039753879713908	0.0157089119243399	0.0087249702006828
